Timestamp,station,distination,frequency,time_slot,wait_time,case    ,  ما هو أسوأ يوم في الأسبوع من ناحية الانتظار؟  ,  هل تستخدم أحياناً الحافلة بدل التاكسي الجماعي؟  ,    لماذا تفضّل التاكسي الجماعي على الحافلة؟ ,ما الوقت أو المكان الأصعب في رأيك ؟ ,ما الحل الذي تقترحه ؟ 
06/06/2026 18:18:26,قمعون أكودة,المنشية حمام سوسة,كل يوم,الصباح 07:00–09:00,15-30 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الأحد,نادراً,الحافلة لا تأتي في وقتها,Akouda,Nchri krhba🙂
06/06/2026 18:27:02,مفترق بانوراما,مفترق موبلاتكس حمام سوسة,مرة أو مرتين,الضحى 09:00–11:00,5-15 min,يمر تاكسي جماعي ممتلئ,الأحد,نعم أحياناً,الحافلة لا تأتي في وقتها,بانوراما,
06/06/2026 18:30:13,قمعون أكودة,باب بحر,مرة أو مرتين,الضحى 09:00–11:00,15-30 min,يمر تاكسي جماعي ممتلئ,الأحد,نادراً,التاكسي الجماعي أسرع,في العشية وقت مرواح الخدامة,إنشاء محطة بأكودة 
06/06/2026 18:36:21,محطة مستشفى فرحات حشاد,محطة مستشفى فرحات حشاد,3 الى 5 مرات,بعد الظهر 16:00–18:00,more than 30 min,"يمر تاكسي جماعي ممتلئ, لا يمر تاكسي جماعي لفترة طويلة, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,نعم أحياناً,الحافلة لا تأتي في وقتها,باب بحر على الساعة الخامسة مساء,تكثيف دوريات شرطة المرور ، تسهيل الإجراءات لتقديم شكاوي و بلاغات في حال تجاوزات
06/06/2026 18:40:24,معهد علي بورقيبة القلعة الكبرى,خزامة,كل يوم,الصباح 07:00–09:00,more than 30 min,يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا,السبت,لا  أبداً,,رومبوان الرزڨي,محطة تاكسي خاصة
06/06/2026 18:41:42,المراح القلعة الكبرى,باب بحر,3 الى 5 مرات,الصباح 07:00–09:00,more than 30 min,يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا,الاثنين,نعم أحياناً,الحافلة لا تأتي في وقتها,8,
06/06/2026 18:42:23,المراح القلعة الكبرى,مفترق حنبعل أكودة,3 الى 5 مرات,بعد الظهر 16:00–18:00,5-15 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,لا  أبداً,,الصباح الباكر,تغيير اوقات العمل
06/06/2026 18:44:14,(la poste) البريد  القلعة الكبرى,معهد علي بورقيبة القلعة الكبرى,كل يوم,الصباح 07:00–09:00,less than 5 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي اتجاهه سهلول",الاثنين,لا  أبداً,,أمام معهم علي بورڨيبة,تكثيف سيارات الأجرة
06/06/2026 18:45:19,(la poste) البريد  القلعة الكبرى,المنشية حمام سوسة,كل يوم,الصباح 07:00–09:00,more than 30 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي اتجاهه سهلول, لا يمر تاكسي جماعي لفترة طويلة, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,لا  أبداً,,المنشية 17:00,توفير عدد اكبر من الحافلات و من التاكسي الجماعي
06/06/2026 18:45:30,(la poste) البريد  القلعة الكبرى,باب بحر,كل يوم,الضحى 09:00–11:00,5-15 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الخميس,نادراً,التاكسي الجماعي متوفر أكثر,في الصباح الباكر و في محطة المراح,توفير تكسيات مخصصة للطلبة و التلاميذ لأن أكثر مشاكل الإزدحام و عدم توقف أو توفر التاكسي هو أن السائق لا يتوقف لتلميذ أو شخص يعرف أنه سيركب لمدة قصيرة و هذه من أكبر المشاكل التي يتعرض لها أشخاص مثلي من ناحيتي الخاصة
06/06/2026 18:47:45,(la poste) البريد  القلعة الكبرى,باب بحر,كل يوم,الضحى 09:00–11:00,5-15 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الخميس,نادراً,التاكسي الجماعي متوفر أكثر,في الصباح الباكر في محطة المراح,توفير تكسيات للطلبة و التلاميذ 
06/06/2026 18:51:08,(la poste) البريد  القلعة الكبرى,المنشية حمام سوسة,كل يوم,الصباح 07:00–09:00,15-30 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,نعم أحياناً,التاكسي الجماعي متوفر أكثر,,
06/06/2026 18:51:26,(la poste) البريد  القلعة الكبرى,باب بحر,3 الى 5 مرات,الصباح 07:00–09:00,15-30 min,يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا,الاثنين,لا  أبداً,,Msaken / sahloul ,"Nchri karhba / no9tlou el taxitia eli yhebouch ytal3ou le3bad ch9alk ch9alk 3lik ki nwaslk ll9l3a lfou9 ou nrj3 bik ""khaser"""
06/06/2026 18:51:57,المراح القلعة الكبرى,معهد علي بورقيبة القلعة الكبرى,3 الى 5 مرات,الصباح 07:00–09:00,5-15 min,يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا,الاثنين,نادراً,الحافلة لا تأتي في وقتها,Sbeh ,Yzidu les taxi 
06/06/2026 18:58:02,باب بحر,باب بحر,مرة أو مرتين,بعد الظهر 16:00–18:00,5-15 min,لا يمر تاكسي جماعي لفترة طويلة,الاثنين,نعم أحياناً,الحافلة لا تمر بمحطتي,الاماكن الاكثر اكتضاضا,معنديش حل 
06/06/2026 19:15:18,سير عويتي القلعة الكبرى,المنشية حمام سوسة,كل يوم,الصباح 07:00–09:00,more than 30 min,"يمر تاكسي جماعي ممتلئ, لا يمر تاكسي جماعي لفترة طويلة, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,نادراً,التاكسي الجماعي متوفر أكثر,,
06/06/2026 19:16:11,قمعون أكودة,المنشية حمام سوسة,كل يوم,الضحى 09:00–11:00,15-30 min,يمر تاكسي جماعي ممتلئ,الاثنين,نعم أحياناً,التاكسي الجماعي متوفر أكثر,Kol blasa fi akouda sur tout fel sbe7 m3a wa9et el mechi lel 5edma wel 9raya,انشاء محطة باكودة و توفير المزيد من التاكسيات
06/06/2026 19:23:45,الوردة أكودة,باب بحر,3 الى 5 مرات,الصباح 07:00–09:00,15-30 min,يمر تاكسي جماعي ممتلئ,الاثنين,نعم أحياناً,التاكسي الجماعي متوفر أكثر,Akouda,توفير تاكسي أكودة سوسة
06/06/2026 19:25:21,الوردة أكودة,باب بحر,3 الى 5 مرات,المساء 18:00–20:00,15-30 min,يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا,الاثنين,نادراً,الحافلة لا تأتي في وقتها,,
06/06/2026 19:31:13,الوردة أكودة,مفترق بانوراما,3 الى 5 مرات,بعد الظهر 16:00–18:00,15-30 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي اتجاهه سهلول, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",السبت,نعم أحياناً,التاكسي الجماعي أسرع,,
06/06/2026 19:31:18,الوردة أكودة,باب بحر,كل يوم,الصباح 07:00–09:00,5-15 min,يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا,الاثنين,نادراً,التاكسي الجماعي أسرع,قمعون,توفير خط من اكودة الى بابا بحر
06/06/2026 19:31:41,(la poste) البريد  القلعة الكبرى,محطة مستشفى فرحات حشاد,مرة أو مرتين,الصباح 07:00–09:00,more than 30 min,يمر تاكسي جماعي ممتلئ,الاثنين,نادراً,الحافلة لا تأتي في وقتها,Beb bhar,Metro
06/06/2026 19:32:59,الحي الجديد (مخبزة زايد) القلعة الكبرى,المنشية حمام سوسة,كل يوم,بعد الظهر 16:00–18:00,more than 30 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,لا  أبداً,,7:30 akouda,"birth control, literally"
06/06/2026 19:41:41,قمعون أكودة,مفترق بانوراما,3 الى 5 مرات,الضحى 09:00–11:00,less than 5 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي اتجاهه سهلول, لا يمر تاكسي جماعي لفترة طويلة, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,نادراً,التاكسي الجماعي متوفر أكثر,menchia,more taxis?
06/06/2026 19:48:43,باب بحر,المنشية حمام سوسة,3 الى 5 مرات,الصباح 07:00–09:00,15-30 min,"يمر تاكسي جماعي ممتلئ, لا يمر تاكسي جماعي لفترة طويلة",الاثنين,نادراً,التاكسي الجماعي أسرع,Beb bhar,احترام الركاب و تكثيف من التكسيات الجماعية 
06/06/2026 20:08:07,سير عويتي القلعة الكبرى,باب بحر,3 الى 5 مرات,الصباح الباكر 05:00–07:00,5-15 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,نعم أحياناً,الحافلة لا تأتي في وقتها,باب بحر 17h و القاعة الكبرى 8h,توقير الحافلات 
06/06/2026 20:10:15,معهد علي بورقيبة القلعة الكبرى,باب بحر,كل يوم,الظهيرة 12:00–14:00,5-15 min,يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا,الاثنين,نادراً,الحافلة لا تأتي في وقتها,Sbah nhar thnin,Ywefrou kiran fi aw9ad 8h w 12h w 14h w 17h
06/06/2026 20:21:21,قمعون أكودة,المنشية حمام سوسة,كل يوم,الصباح 07:00–09:00,5-15 min,يمر تاكسي جماعي ممتلئ,الاثنين,لا  أبداً,,Beb bhar,
06/06/2026 20:44:37,معهد علي بورقيبة القلعة الكبرى,المنشية حمام سوسة,كل يوم,الصباح 07:00–09:00,more than 30 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي اتجاهه سهلول",الاثنين,نعم أحياناً,الحافلة لا تأتي في وقتها,7:30,تأسيس محطة تاكسي في أكودة
06/06/2026 21:07:22,قمعون أكودة,المنشية حمام سوسة,كل يوم,الصباح 07:00–09:00,more than 30 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,نادراً,التاكسي الجماعي أسرع,قمعون في الصباح,توفير رخص  تاكسي جماعي اكثر و محطة اكودة و باب بحر
06/06/2026 21:12:26,سير عويتي القلعة الكبرى,معهد علي بورقيبة القلعة الكبرى,كل يوم,الصباح 07:00–09:00,more than 30 min,"لا يمر تاكسي جماعي لفترة طويلة, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,نادراً,الحافلة لا تأتي في وقتها,المراح و 7:30,توفير حافلات كل نصف ساعة لان الحافلة لا تأتي في اغلب الاوقات فعلت اشتراك واستعملته اربع مرات عام كامل لانها لاتأتي  كما اجبار التاكسي اذا كان فارغ على الوقوف لان اغلب التاكسي فارغ و لا يقف
06/06/2026 21:24:44,قمعون أكودة,باب بحر,مرة أو مرتين,الظهيرة 12:00–14:00,5-15 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,نادراً,التاكسي الجماعي متوفر أكثر,,métro w tandhim aw9at lkiran akthar 
06/06/2026 21:28:54,(la poste) البريد  القلعة الكبرى,المنشية حمام سوسة,3 الى 5 مرات,الصباح 07:00–09:00,more than 30 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,نادراً,التاكسي الجماعي أسرع,7 AM ,توفير حافلات
06/06/2026 21:31:28,الحي الجديد (مخبزة زايد) القلعة الكبرى,المنشية حمام سوسة,3 الى 5 مرات,الصباح 07:00–09:00,more than 30 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,نادراً,الحافلة لا تأتي في وقتها,القلعة,تواجد تكاسي اكثر
06/06/2026 22:20:39,قمعون أكودة,قمعون أكودة,مرة أو مرتين,المساء 18:00–20:00,15-30 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الأحد,نعم أحياناً,التاكسي الجماعي متوفر أكثر,,وجود تاكسيت باكودة
06/06/2026 22:30:34,سير عويتي القلعة الكبرى,معهد علي بورقيبة القلعة الكبرى,كل يوم,الصباح 07:00–09:00,15-30 min,يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا,الاثنين,نادراً,الحافلة لا تأتي في وقتها,7:30 الى 9:30 تقريبا أصعب وقت ,حضور حافلة كل نصف ساعة و خصوصا الحافلة المدرسية لتلاميذ معهد علي بورڤيبةالتي لم تتواجد مع موعد دخول التلاميذ خاصة 7:30 و13:30ا
06/06/2026 22:39:05,معهد علي بورقيبة القلعة الكبرى,باب بحر,كل يوم,الضحى 09:00–11:00,5-15 min,"يمر تاكسي جماعي ممتلئ, لا يمر تاكسي جماعي لفترة طويلة",الأحد,نعم أحياناً,التاكسي الجماعي متوفر أكثر,17:00,
06/06/2026 23:13:58,معهد علي بورقيبة القلعة الكبرى,قمعون أكودة,كل يوم,الصباح الباكر 05:00–07:00,5-15 min,يمر تاكسي جماعي اتجاهه سهلول,الأربعاء,نادراً,التاكسي الجماعي متوفر أكثر, 7 صباحا,..
06/06/2026 23:23:43,الحي الجديد (مخبزة زايد) القلعة الكبرى,باب بحر,مرة أو مرتين,الظهيرة 12:00–14:00,less than 5 min,يمر تاكسي جماعي ممتلئ,الخميس,نادراً,التاكسي الجماعي أسرع,L mrah,No idea 
06/06/2026 23:28:17,سير عويتي القلعة الكبرى,المنشية حمام سوسة,كل يوم,الصباح 07:00–09:00,15-30 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,نادراً,التاكسي الجماعي أسرع,Sbh,
07/06/2026 12:41:41,المنشية حمام سوسة,المنشية حمام سوسة,3 الى 5 مرات,الظهيرة 12:00–14:00,5-15 min,لا يمر تاكسي جماعي لفترة طويلة,الاثنين,لا  أبداً,,,
07/06/2026 12:42:28,معهد علي بورقيبة القلعة الكبرى,خزامة,3 الى 5 مرات,المساء 18:00–20:00,less than 5 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي اتجاهه سهلول",الاثنين,نادراً,التاكسي الجماعي متوفر أكثر,,يشتري لي ابي سيارة
07/06/2026 12:43:01,(la poste) البريد  القلعة الكبرى,(la poste) البريد  القلعة الكبرى,مرة أو مرتين,الضحى 09:00–11:00,15-30 min,يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا,الاثنين,لا  أبداً,,,
07/06/2026 12:51:56,المراح القلعة الكبرى,باب بحر,كل يوم,الصباح 07:00–09:00,more than 30 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,نادراً,التاكسي الجماعي أسرع,في الصباح الباكر يصعب ركوب تاكسي خاصة في محطة المراح ,اقترح تطبيق للحجز المسبق يعني الراكب يحجز مقعده قبل الوصول وتوفير تكسيات إضافية في ساعات الذروة 
07/06/2026 14:11:19,الوردة أكودة,الوردة أكودة,كل يوم,الصباح 07:00–09:00,more than 30 min,يمر تاكسي جماعي ممتلئ,الاثنين,لا  أبداً,,سهلول,تكثير من وسائل النقل و التحسين في جودة التعامل
07/06/2026 14:18:43,سير عويتي القلعة الكبرى,المنشية حمام سوسة,مرة أو مرتين,الظهيرة 12:00–14:00,5-15 min,"يمر تاكسي جماعي ممتلئ, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الاثنين,نادراً,التاكسي الجماعي متوفر أكثر,سيرعويتي نهار الاثنين الصباح,
07/06/2026 14:27:39,الحي الجديد (مخبزة زايد) القلعة الكبرى,باب بحر,مرة أو مرتين,بعد الظهر 16:00–18:00,5-15 min,يمر تاكسي جماعي ممتلئ,السبت,نادراً,التاكسي الجماعي أسرع,,
07/06/2026 15:23:40,(la poste) البريد  القلعة الكبرى,المنشية حمام سوسة,كل يوم,الصباح 07:00–09:00,more than 30 min,يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا,الاثنين,نادراً,التاكسي الجماعي أسرع,7h du matin  la poste,Kif nrkbou f sens inverse yani mchin dardour yrkbouna 5ater. Fl aada yjiw ferghin mais mey9foulnch
07/06/2026 15:45:37,سير عويتي القلعة الكبرى,باب بحر,كل يوم,الصباح 07:00–09:00,more than 30 min,يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا,الاثنين,نعم أحياناً,التاكسي الجماعي أسرع,وصول لباب بحر لان صاحب التاكسى لا يريد ان يحملني يريد ان يركب اكثر من شخص ينزلون في محطات قريبة,مسؤولين يجب ان يحاسبوهم 
07/06/2026 16:07:35,(la poste) البريد  القلعة الكبرى,باب بحر,كل يوم,الصباح 07:00–09:00,15-30 min,يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا,الاثنين,لا  أبداً,,,
07/06/2026 20:07:47,المراح القلعة الكبرى,الحي الجديد (مخبزة زايد) القلعة الكبرى,3 الى 5 مرات,بعد الظهر 16:00–18:00,less than 5 min,يمر تاكسي جماعي اتجاهه سهلول,الاثنين,لا  أبداً,,,
11/06/2026 17:27:41,معهد علي بورقيبة القلعة الكبرى,خزامة,مرة أو مرتين,بعد الظهر 16:00–18:00,more than 30 min,"يمر تاكسي جماعي ممتلئ, لا يمر تاكسي جماعي لفترة طويلة, يمر تاكسي جماعي لكن الناس يتدافعون ولا تجد مكانا",الجمعة,لا  أبداً,,El menchiya fel 3chiya,Ay 7aja ella el projet hedha